Indeks,Komentar,Komentar_bersih,normal_teks,Label,Label_Validator
H-702,Foto Satelit Retakan Bawah Laut Akibat Gempa Sulbar,foto satelit retakan bawah laut akibat gempa sulbar,foto satelit retakan bawah laut akibat gempa sulbar,2,2
H-703,Ramuan Penangkal Covid-19 oleh Kemenkes,ramuan penangkal covid19 oleh kemenkes,ramuan penangkal covid19 oleh kemenkes,2,2
H-704,Sinyal SOS Berarti “Save Our Soul” oleh Korban Sriwijaya Air SJ-182 di Pulau Laki,sinyal sos berarti save our soul oleh korban sriwijaya air sj182 di pulau laki,sinyal sos berarti save kami jiwa oleh korban Sriwijaya air sj182 di pulau laki,2,2
H-705,Foto “contoh anak Raja salman arab yg kuliah di amerika”,foto contoh anak raja salman arab yg kuliah di amerika,foto contoh anak raja salman arab yang kuliah di amerika,2,2
H-706,5 Tahun Indonesia Merdeka Baru Di Zaman Jokowi Lah Sumatera Mempunyai Jalan Tol,5 tahun indonesia merdeka baru di zaman jokowi lah sumatera mempunyai jalan tol,5 tahun indonesia merdeka baru di zaman Jokowi lah sumatera mempunyai jalan tol,2,2
H-707,Bantuan Covid-19 untuk Pemilik SIM A dan C oleh Asuransi Jasa Raharja,bantuan covid19 untuk pemilik sim a dan c oleh asuransi jasa raharja,bantuan covid19 untuk pemilik sim a dan c oleh asuransi jasa raharja,2,2
H-708,TAKTIK BARU SCAMMER” Melalui Status Whatsapp,taktik baru scammer melalui status whatsapp,taktik baru scammer melalui status WhatsApp,2,2
H-709,WhatsApp Dikenai Biaya setelah Diakuisisi oleh Facebook,whatsapp dikenai biaya setelah diakuisisi oleh facebook,WhatsApp dikenakan biaya setelah diakuisisi oleh Facebook,2,2
H-710,"Pasca KTT G20 di Bali, Indonesia Tambah Utang Baru Rp314 Triliun",pasca ktt g20 di bali indonesia tambah utang baru rp314 triliun,pasca ktt g20 di bali indonesia tambah utang baru rp314 triliun,2,2
H-711,Mantan Wakil Presiden RI Try Sutrisno Meninggal Dunia,mantan wakil presiden ri try sutrisno meninggal dunia,mantan wakil presiden ri coba sutrisno meninggal dunia,2,2
H-712,UJI COBA KERETA CEPAT JAKARTA-BANDUNG KELUAR DARI RELNYA DAN MEMAKAN KORBAN PEKERJA TERLUKA,uji coba kereta cepat jakartabandung keluar dari relnya dan memakan korban pekerja terluka,uji coba kereta cepat jakartabandung keluar dari relnya dan memakan korban pekerja terluka,2,2
H-713,"Piala Dunia 2022 Dimulai, Mualaf di Qatar Bertambah 558 Orang",piala dunia 2022 dimulai mualaf di qatar bertambah 558 orang,piala dunia 2022 dimulai mualaf di qatar bertambah 558 orang,2,2
H-714,kabel tegangan tinggi bisa menjangkau ke Otak melalui Ear Phones Bluetooth,kabel tegangan tinggi bisa menjangkau ke otak melalui ear phones bluetooth,kabel tegangan tinggi bisa menjangkau ke otak melalui ear phones bluetooth,2,2
H-715,Cara Mendeteksi Kehamilan Dengan Menggunakan Air Urine dan Garam,cara mendeteksi kehamilan dengan menggunakan air urine dan garam,cara mendeteksi kehamilan dengan menggunakan air urine dan garam,2,2
H-716,Sindrom Stiff-Person yang Diderita Penyanyi Celine Dion Disebabkan Vaksin Pfizer,sindrom stiffperson yang diderita penyanyi celine dion disebabkan vaksin pfizer,sindrom stiffperson yang diderita penyanyi celine dion disebabkan vaksin pfizer,2,2
H-717,Surat Pemberitahuan Terkait Pemberian Bantuan Akhir Tahun 2022 Oleh Kementerian Agama,surat pemberitahuan terkait pemberian bantuan akhir tahun 2022 oleh kementerian agama,surat pemberitahuan terkait pemberian bantuan akhir tahun 2022 oleh kementerian agama,2,2
H-718,Lowongan Pekerjaan Trans Jakarta,lowongan pekerjaan trans jakarta,lowongan pekerjaan trans jakarta,2,2
H-719,Surat Penggalangan Dana Oleh Dinas Sosial Provinsi Jawa Timur,surat penggalangan dana oleh dinas sosial provinsi jawa timur,surat penggalangan dana oleh dinas sosial provinsi jawa timur,2,2
H-720,Pernyataan CEO Pfizer: “Saya Mengundurkan Diri dan Vaksin mRNA Belum Terbukti Aman,pernyataan ceo pfizer saya mengundurkan diri dan vaksin mrna belum terbukti aman,pernyataan ceo pfizer saya mengundurkan diri dan vaksin mrna belum terbukti aman,2,2
H-721,Air Kelapa Dapat Mempengaruhi Jenis Kelamin Dalam Janin,air kelapa dapat mempengaruhi jenis kelamin dalam janin,air kelapa dapat mempengaruhi jenis kelamin dalam janin,2,2
H-722,Lowongan Kerja Departemen Sumber Daya Manusia (SDM) Shopee,lowongan kerja departemen sumber daya manusia sdm shopee,lowongan kerja departemen sumber daya manusia sdm shopee,2,2
H-723,KERA-KERA TURUN KE DAERAH DAGO ATAU LEMBANG,kerakera turun ke daerah dago atau lembang,kerakera turun ke daerah dago atau lembang,2,2
H-724,Orang yg berdiri diantara SOEKARNO dan Pangsar SOEDIRMAN itu KAKEK Anies Baswedan,orang yg berdiri diantara soekarno dan pangsar soedirman itu kakek anies baswedan,orang yang berdiri di antara soekarno dan pangsar soedirman itu kakek anies Baswedan,2,2
H-725,"Sampel Darah yang Tidak Sehat, Mengental Setelah Vaksin",sampel darah yang tidak sehat mengental setelah vaksin,sampel darah yang tidak sehat mengental setelah vaksin,2,2
H-726,Virus Covid-19 Sengaja Dikembangkan dan Ditingkatkan Kemampuannya,virus covid19 sengaja dikembangkan dan ditingkatkan kemampuannya,virus covid19 sengaja dikembangkan dan ditingkatkan kemampuannya,2,2
H-727,Elon Musk Mengimbau Warga AS Untuk Memilih Partai Republican,elon musk mengimbau warga as untuk memilih partai republican,elon mask mengimbau warga as untuk memilih partai republican,2,2
H-728,Giveaway Baim Wong Senilai Rp100 Juta,giveaway baim wong senilai rp100 juta,giveaway baim wong senilai rp100 juta,2,2
H-729,Biadab nya China Komunis Inilah yg terjadi dengan Saudara² Kita Muslim Uyghur,biadab nya china komunis inilah yg terjadi dengan saudara2 kita muslim uyghur,biadab nya china komunis inilah yang terjadi dengan saudara kita muslim uyghur,2,2
H-730,ORMAS DAPAT DUIT DARI INFAQ,ormas dapat duit dari infaq,ormas dapat duit dari infaq,2,2
H-731,Gangguan Ginjal Akut Misterius Pada Anak Disebabkan Oleh Vaksin Covid-19,gangguan ginjal akut misterius pada anak disebabkan oleh vaksin covid19,gangguan ginjal akut misterius pada anak disebabkan oleh vaksin covid19,2,2
H-732,Di Jerman Orang yang Sudah Divaksin Dilarang Membeli dan Mengendarai Mobil,di jerman orang yang sudah divaksin dilarang membeli dan mengendarai mobil,di jerman orang yang sudah divaksin dilarang membeli dan mengendarai mobil,2,2
H-733,Gencarnya kristenisasi Kampung Palalangon Cianjur,gencarnya kristenisasi kampung palalangon cianjur,gencarnya kristenisasi kampung palalangon cianjur,2,2
H-734,"Di Cianjur, Muhammad Imran Pakai Nama Depan Aloysius",di cianjur muhammad imran pakai nama depan aloysius,di cianjur muhammad imran pakai nama depan aloysius,2,2
H-735,Perubahan Biaya Transaksi Bank BCA,perubahan biaya transaksi bank bca,perubahan biaya transaksi bank bca,2,2
H-736,"JUARA YG SATU INI SOK NKRI, TAPI ACUNGKAN SYAL BENDERA LGBT",juara yg satu ini sok nkri tapi acungkan syal bendera lgbt,juara yang satu ini sok nkri tapi acungkan syal bendera lgbt,2,2
H-737,Kadrun adalah sebutan PKI tahun 1960an pada umat Islam sebagai musuhnya,kadrun adalah sebutan pki tahun 1960an pada umat islam sebagai musuhnya,kadrun adalah sebutan pki tahun 1960an pada umat islam sebagai musuhnya,2,2
H-738,Surat Sosialisasi SINTA Versi 3 Oleh Ditjen Diktiristek Kemendikbudristek,surat sosialisasi sinta versi 3 oleh ditjen diktiristek kemendikbudristek,surat sosialisasi sinta versi 3 oleh ditjen diktiristek kemendikbudristek,2,2
H-739,Pesan WhatsApp Giveaway Ria Ricis 50 Juta,pesan whatsapp giveaway ria ricis 50 juta,pesan WhatsApp giveaway ria ricis 50 juta,2,2
H-740,Pesan WhatsApp Dana Bantuan Pertamina Sebesar Rp100 Juta,pesan whatsapp dana bantuan pertamina sebesar rp100 juta,pesan WhatsApp dana bantuan pertamina sebesar rp100 juta,2,2
H-741,Pengumuman Panggilan Calon Karyawan Perum Bulog,pengumuman panggilan calon karyawan perum bulog,pengumuman panggilan calon karyawan perum bulog,2,2
H-742,Pesan Whatsapp Menawarkan Pinjaman Online Oleh Ponpes Al Falah Sumber Malang Situbondo,pesan whatsapp menawarkan pinjaman online oleh ponpes al falah sumber malang situbondo,pesan WhatsApp menawarkan pinjaman online oleh ponpes al falah sumber malang situbondo,2,2
H-743,Demo Memprotes Kecurangan Hasil Pemilu di Brasilia pada 12 November 2022,demo memprotes kecurangan hasil pemilu di brasilia pada 12 november 2022,demo memprotes kecurangan hasil pemilu di brasilia pada 12 november 2022,2,2
H-744,Putri Esmat Al-Dowleh Lambang Kecantikan Persia pada Abad ke-19 dan Menyebabkan Banyak Pemuda Bunuh Diri karena Ditolak Cintanya,putri esmat aldowleh lambang kecantikan persia pada abad ke19 dan menyebabkan banyak pemuda bunuh diri karena ditolak cintanya,putri esmat aldowleh lambang kecantikan persia pada abad ke19 dan menyebabkan banyak pemuda bunuh diri karena ditolak cintanya,2,2
H-745,Varian baru covid hanya berbahaya untuk yang divaksin,varian baru covid hanya berbahaya untuk yang divaksin,varian baru covid hanya berbahaya untuk yang divaksin,2,2
H-746,SULTAN HAMENGKUBUWONO: CINA DAN KETURUNANNYA TIDAK PANTAS JADI PEMIMPIN DI BUMI NUSANTARA,sultan hamengkubuwono cina dan keturunannya tidak pantas jadi pemimpin di bumi nusantara,sultan hamengkubuwono cina dan keturunannya tidak pantas jadi pemimpin di bumi nusantara,2,2
H-747,Presiden Jokowi Memberikan Penganugerahan Gelar Pahlawan Nasional Kepada Alm Jenderal TNI Soeharto,presiden jokowi memberikan penganugerahan gelar pahlawan nasional kepada alm jenderal tni soeharto,presiden Jokowi memberikan penganugerahan gelar pahlawan nasional kepada almarhum jenderal tni soeharto,2,2
H-748,"Covid-19 Subvarian XBB berbeda, mematikan dan tidak mudah terdeteksi dengan baik",covid19 subvarian xbb berbeda mematikan dan tidak mudah terdeteksi dengan baik,covid19 subvarian xbb berbeda mematikan dan tidak mudah terdeteksi dengan baik,2,2
H-749,Foto Banjir Jakarta di Masa Pemerintahan Heru Budi Hartono,foto banjir jakarta di masa pemerintahan heru budi hartono,foto banjir jakarta di masa pemerintahan heru budi hartono,2,2
H-750,Foto Anies Baswedan Berdiri di Luar Tempat Makan Siang G20,foto anies baswedan berdiri di luar tempat makan siang g20,foto anies Baswedan berdiri di luar tempat makan siang g20,2,2
H-751,George Floyd Meninggal Karena Overdosis,george floyd meninggal karena overdosis,george floyd meninggal karena overdosis,2,2
H-752,Mandi Air Hujan Supaya Cepat Punya Anak,mandi air hujan supaya cepat punya anak,mandi air hujan supaya cepat punya anak,2,2
H-753,Mengunyah Kulit Pohon Jambu Mete Biasa Menetralisir Racun Gigitan Ular,mengunyah kulit pohon jambu mete biasa menetralisir racun gigitan ular,mengunyah kulit pohon jambu mete biasa menetralisir racun gigitan ular,2,2
H-754,Bisnis Vaksin PMK dan Efek Shedding penyakit PMK dari Hewan Menular ke Manusia,bisnis vaksin pmk dan efek shedding penyakit pmk dari hewan menular ke manusia,bisnis vaksin pmk dan efek shedding penyakit pmk dari hewan menular ke manusia,2,2
H-755,Imam Besar Kadrun Yang Baru Rojack Al Garong,imam besar kadrun yang baru rojack al garong,imam besar kadrun yang baru rojack al garong,2,2
H-756,"Tautan Penerima BLT UMKM Bulan Januari 2022 Sebesar Rp1,2 Juta",tautan penerima blt umkm bulan januari 2022 sebesar rp12 juta,tautan penerima blt umkm bulan januari 2022 sebesar rp12 juta,2,2
H-757,Gambar Anies membaca buku “101 cara ngeles”,gambar anies membaca buku 101 cara ngeles,gambar anies membaca buku 101 cara ngeles,2,2
H-758,Tes Warna Sepatu untuk Menentukan Sisi Otak yang Dominan,tes warna sepatu untuk menentukan sisi otak yang dominan,tes warna sepatu untuk menentukan sisi otak yang dominan,2,2
H-759,Foto Rudal Balistik Buatan Indonesia Diangkut truk,foto rudal balistik buatan indonesia diangkut truk,foto rudal balistik buatan indonesia diangkut truk,2,2
H-760,"Mata Uang Baru Yang Dikeluarkan BI, Koin Seratus Ribu Rupiah",mata uang baru yang dikeluarkan bi koin seratus ribu rupiah,mata uang baru yang dikeluarkan bi koin seratus ribu rupiah,2,2
H-761,Video Pasangan Sesama Jenis Pamer Buku Nikah,video pasangan sesama jenis pamer buku nikah,video pasangan sesama jenis pamer buku nikah,2,2
H-762,Peringatan Gempa Bumi Berkekuatan 8-9 SR pada 1 hingga 3 Januari 2022 karena Persilangan Posisi Planet,peringatan gempa bumi berkekuatan 89 sr pada 1 hingga 3 januari 2022 karena persilangan posisi planet,peringatan gempa bumi berkekuatan 89 sr pada 1 hingga 3 januari 2022 karena persilangan posisi planet,2,2
H-763,Wanita Bercadar Masuk ke Teras Gereja dan Menaruh Sebuah Tas di Pot Bunga,wanita bercadar masuk ke teras gereja dan menaruh sebuah tas di pot bunga,wanita bercadar masuk ke teras gereja dan menaruh sebuah tas di pot bunga,2,2
H-764,Foto Minuman dari Kotoran Domba dan Kambing di China,foto minuman dari kotoran domba dan kambing di china,foto minuman dari kotoran domba dan kambing di china,2,2
H-765,Foto Patung Buddha Bamiyan di Awal 1900-an,foto patung buddha bamiyan di awal 1900an,foto patung buddha bamiyan di awal 1900an,2,2
H-766,Foto Rumah Abad Pertengahan di Perancis yang Dibangun Tahun 1509,foto rumah abad pertengahan di perancis yang dibangun tahun 1509,foto rumah abad pertengahan di perancis yang dibangun tahun 1509,2,2
H-767,Kebiadaban Myanmar terhadap ummat Islam tidak bisa dimaafkan,kebiadaban myanmar terhadap ummat islam tidak bisa dimaafkan,kebiadaban myanmar terhadap umat islam tidak bisa dimaafkan,2,2
H-768,Huruf Braille di Setir Mobil untuk Mengetahui Letak Klakson,huruf braille di setir mobil untuk mengetahui letak klakson,huruf braille di setir mobil untuk mengetahui letak klakson,2,2
H-769,MUI Tidak Boleh Mengeluarkan Sertifikat Halal ke Makanan dan Minuman,mui tidak boleh mengeluarkan sertifikat halal ke makanan dan minuman,mui tidak boleh mengeluarkan sertifikat halal ke makanan dan minuman,2,2
H-770,"Salah Satu Pemain Menggunakan Doping, Timnas Thailand Didiskualifikasi dari Piala AFF",salah satu pemain menggunakan doping timnas thailand didiskualifikasi dari piala aff,salah satu pemain menggunakan doping timnas thailand didiskualifikasi dari piala afeksi,2,2
H-771,Donasi Kembalian Konsumen Minimarket Disumbangkan Ke Badan Sosial GKI,donasi kembalian konsumen minimarket disumbangkan ke badan sosial gki,donasi kembalian konsumen minimarket disumbangkan ke badan sosial gki,2,2
H-772,China Meluncurkan Matahari Buatan,china meluncurkan matahari buatan,china meluncurkan matahari buatan,2,2
H-773,"Innalillahi kabar duka kebakaran, artis meninggal banyak yang membaca ,dan shere sedangkan Masjid Meledak Saat Waktu Sholat Jumat, Sebanyak 67 Jamaah Meninggal Dunia, Semoga Husnol Khotimah Aminn",innalillahi kabar duka kebakaran artis meninggal banyak yang membaca dan shere sedangkan masjid meledak saat waktu sholat jumat sebanyak 67 jamaah meninggal dunia semoga husnol khotimah aminn,innalillahi kabar duka kebakaran artis meninggal banyak yang membaca dan shere sedangkan masjid meledak saat waktu sholat jumat sebanyak 67 jamaah meninggal dunia semoga husnol khotimah amin,2,2
H-774,Giveaway Kedas Beauty Senilai Rp175 Juta,giveaway kedas beauty senilai rp175 juta,giveaway kedas kecantikan senilai rp175 juta,2,2
H-775,Kita akan mengalami cuaca yang dingin melebihi cuaca dingin sebelumnya karena fenomena aphelion,kita akan mengalami cuaca yang dingin melebihi cuaca dingin sebelumnya karena fenomena aphelion,kita akan mengalami cuaca yang dingin melebihi cuaca dingin sebelumnya karena fenomena aphelion,2,2
H-776,Burger yang Diproduksi oleh McDonald’s Mengandung Ammonia Hydroxide,burger yang diproduksi oleh mcdonalds mengandung ammonia hydroxide,burger yang diproduksi oleh mcdonalds mengandung ammonia hydroxide,2,2
H-777,Selebgram Rio Ramadhan Meninggal Dunia,selebgram rio ramadhan meninggal dunia,selebgram rio ramadhan meninggal dunia,2,2
H-778,Cristiano Ronaldo Keturunan Bali,cristiano ronaldo keturunan bali,Cristiano Ronaldo keturunan bali,2,2
H-779,Sumur Resapan Makan Korban,sumur resapan makan korban,sumur resapan makan korban,2,2
H-780,NASA Mempekerjakan 24 Teolog untuk Memeriksa Reaksi Masyarakat terhadap Penemuan Alien,nasa mempekerjakan 24 teolog untuk memeriksa reaksi masyarakat terhadap penemuan alien,nasa mempekerjakan dua puluh empat teolog untuk memeriksa reaksi masyarakat terhadap penemuan alien,2,2
H-781,Video Penduduk Aborigin di Australia Menyambut Pemerintah dengan Busur dan Panah sebagai Bentuk Penolakan Vaksin Covid-19,video penduduk aborigin di australia menyambut pemerintah dengan busur dan panah sebagai bentuk penolakan vaksin covid19,video penduduk aborigin di australia menyambut pemerintah dengan busur dan panah sebagai bentuk penolakan vaksin covid19,2,2
H-782,Tunggul Pohon Silicon Raksasa Yang Ada Ribuan Tahun Lalu,tunggul pohon silicon raksasa yang ada ribuan tahun lalu,tunggul pohon silikon raksasa yang ada ribuan tahun lalu,2,2
H-783,Warga Korea Selatan yang Belum Vaksin Dilarang Mengikuti Pemilihan Presiden,warga korea selatan yang belum vaksin dilarang mengikuti pemilihan presiden,warga korea selatan yang belum vaksin dilarang mengikuti pemilihan presiden,2,2
H-784,REKRUTMEN PENERIMAAN PEGAWAI PEMERINTAH NON PEGAWAI NEGERI KOMISI PEMILIHAN UMUM TAHUN 2022,rekrutmen penerimaan pegawai pemerintah non pegawai negeri komisi pemilihan umum tahun 2022,rekrutmen penerimaan pegawai pemerintah non pegawai negeri komisi pemilihan umum tahun 2022,2,2
H-785,Lowongan Kerja PT. Sido Muncul Tbk,lowongan kerja pt sido muncul tbk,lowongan kerja pt sido muncul tbk,2,2
H-786,Wali Kota Baubau Meninggal Dunia,wali kota baubau meninggal dunia,wali kota baubau meninggal dunia,2,2
H-787,Benda Logam Menempel pada Lengan setelah divaksin,benda logam menempel pada lengan setelah divaksin,benda logam menempel pada lengan setelah divaksin,2,2
H-788,emerintah New Zealand Mengizinkan Euthanasia Secara Spesifik bagi Pasien COVID-19,emerintah new zealand mengizinkan euthanasia secara spesifik bagi pasien covid19,emerintah baru zealand mengizinkan euthanasia secara spesifik bagi pasien covid19,2,2
H-789,Foto Wanita Mengenakan Kaos Berisi Tulisan Umpatan Untuk Anies,foto wanita mengenakan kaos berisi tulisan umpatan untuk anies,foto wanita mengenakan kaos berisi tulisan umpatan untuk anies,2,2
H-790,"Tiket MotoGP Mandalika Sudah Ludes, Kalau Formula E APBDnya Yang Sudah Ludes",tiket motogp mandalika sudah ludes kalau formula e apbdnya yang sudah ludes,tiket MotoGP mandalika sudah ludes kalau formula e APBD-nya yang sudah ludes,2,2
H-791,WHO Mengatakan Vaksinasi di Seluruh Dunia Harus Dihentikan,who mengatakan vaksinasi di seluruh dunia harus dihentikan,siapa mengatakan vaksinasi di seluruh dunia harus dihentikan,2,2
H-792,Membersihkan Vagina dengan Pasta Gigi untuk Menghilangkan Keputihan dan Membuat Vagina Kesat,membersihkan vagina dengan pasta gigi untuk menghilangkan keputihan dan membuat vagina kesat,membersihkan vagina dengan pasta gigi untuk menghilangkan keputihan dan membuat vagina kesat,2,2
H-793,CDC Mengumumkan Tes PCR Tidak Mampu Membedakan Virus SARS-Cov-2 dan Influenza,cdc mengumumkan tes pcr tidak mampu membedakan virus sarscov2 dan influenza,cdc mengumumkan tes pcr tidak mampu membedakan virus sarscov2 dan influenza,2,2
H-794,Kisah Mengharukan Thomas Alva Edison,kisah mengharukan thomas alva edison,kisah mengharukan Thomas alva edison,2,2
H-795,"Ditetapkan Sebagai Kota Injil, Manokwari Larang Perempuan Berhijab, Adzan, dan Pembangunan Masjid",ditetapkan sebagai kota injil manokwari larang perempuan berhijab adzan dan pembangunan masjid,ditetapkan sebagai kota injil manokwari larang perempuan berhijab adzan dan pembangunan masjid,2,2
H-796,Peresmian jembatan di samarinda,peresmian jembatan di samarinda,peresmian jembatan di samarinda,2,2
H-797,Foto Beras Bansos Bercampur Batu,foto beras bansos bercampur batu,foto beras bansos bercampur batu,2,2
H-798,"Seorang gadis asal Arab Saudi meninggal dunia, setelah berhasil menghafal 30 juz Alquran",seorang gadis asal arab saudi meninggal dunia setelah berhasil menghafal 30 juz alquran,seorang gadis asal arab saudi meninggal dunia setelah berhasil menghafal 30 juz alquran,2,2
H-799,"Video Harimau di Cisaga, Ciamis",video harimau di cisaga ciamis,video harimau di cisaga ciamis,2,2
H-800,Terjadi Aksi Penculikan anak di Cianjur,terjadi aksi penculikan anak di cianjur,terjadi aksi penculikan anak di cianjur,2,2
H-801,Putri Bungsu Annisa Trihapsari Meninggal Dunia,putri bungsu annisa trihapsari meninggal dunia,putri bungsu annisa trihapsari meninggal dunia,2,2
H-802,Vaksin mRNA Sebabkan Kematian Pada Lansia,vaksin mrna sebabkan kematian pada lansia,vaksin mrna sebabkan kematian pada lansia,2,2
H-803,Kuesioner Berhadiah dalam Rangka Perayaan HUT Toyota Ke-80,kuesioner berhadiah dalam rangka perayaan hut toyota ke80,kuesioner berhadiah dalam rangka perayaan hut toyota ke80,2,2
H-804,Islam Meniru Kebudayaan Lain Dalam Simbol Bulan Bintang,islam meniru kebudayaan lain dalam simbol bulan bintang,islam meniru kebudayaan lain dalam simbol bulan bintang,2,2
H-805,Ternyata Kisah Upin dan Ipin Benar-benar Nyata Bukan Fiktif Belaka,ternyata kisah upin dan ipin benarbenar nyata bukan fiktif belaka,ternyata kisah upin dan ipin benarbenar nyata bukan fiktif belaka,2,2
H-806,Telah Muncul Varian Baru Corona Bernama “Florona”,telah muncul varian baru corona bernama florona,telah muncul varian baru corona bernama florona,2,2
H-807,Atlet Tenis Dalila Jakupovic Mengalami Kesulitan Bernapas saat Babak Kualifikasi Australia Open karena Vaksin Covid-19,atlet tenis dalila jakupovic mengalami kesulitan bernapas saat babak kualifikasi australia open karena vaksin covid19,atlet tenis dalila jakupovic mengalami kesulitan bernapas saat babak kualifikasi australia open karena vaksin covid19,2,2
H-808,Mengatasi Maag dan Asam Lambung dengan Totok Kaki,mengatasi maag dan asam lambung dengan totok kaki,mengatasi maag dan asam lambung dengan totok kaki,2,2
H-809,Informasi Lowongan Pekerjaan Mengatasnamakan BRI,informasi lowongan pekerjaan mengatasnamakan bri,informasi lowongan pekerjaan mengatasnamakan bri,2,2
H-810,Paus Fransiskus akan Mengganti Alkitab dengan “Biblia 2000”,paus fransiskus akan mengganti alkitab dengan biblia 2000,paus Fransiskus akan mengganti alkitab dengan biblia 2000,2,2
H-811,Jasa dan Biaya Pembuatan SIM Online,jasa dan biaya pembuatan sim online,jasa dan biaya pembuatan sim online,2,2
H-812,Video Tsunami di Tonga pada 15 Januari 2022,video tsunami di tonga pada 15 januari 2022,video tsunami di tonga pada 15 januari 2022,2,2
H-813,Foto Jalan Rusak dan Masjid Rubuh karena Gempa Banten 2022 dan Jakarta,foto jalan rusak dan masjid rubuh karena gempa banten 2022 dan jakarta,foto jalan rusak dan masjid rubuh karena gempa banten 2022 dan jakarta,2,2
H-814,Login ke Facebook Wajib Gunakan Sertifikat Vaksin,login ke facebook wajib gunakan sertifikat vaksin,login ke Facebook wajib gunakan sertifikat vaksin,2,2
H-815,Penyanyi Dangdut Cita Citata Meninggal Dunia,penyanyi dangdut cita citata meninggal dunia,penyanyi dangdut cita citata meninggal dunia,2,2
H-816,Surat Pemanggilan Seleksi Karyawan PT KAI 2022,surat pemanggilan seleksi karyawan pt kai 2022,surat pemanggilan seleksi karyawan pt kai 2022,2,2
H-817,Adam Sandler Meninggal Karena Tenggelam,adam sandler meninggal karena tenggelam,adam sandler meninggal karena tenggelam,2,2
H-818,Kipas Angin Listrik yang Diletakkan di Dahi Dapat Menghilangkan Virus,kipas angin listrik yang diletakkan di dahi dapat menghilangkan virus,kipas angin listrik yang diletakkan di dahi dapat menghilangkan virus,2,2
H-819,Video Protes Melawan Tirani Covid-19 di Belanda,video protes melawan tirani covid19 di belanda,video protes melawan tirani covid19 di belanda,2,2
H-820,Viagra Dapat Menyembuhkan Covid-19,viagra dapat menyembuhkan covid19,viagra dapat menyembuhkan covid19,2,2
H-821,Pasien Covid-19 Tanpa Gejala Berarti Sehat dan Mendapatkan Hasil Test Positif Palsu,pasien covid19 tanpa gejala berarti sehat dan mendapatkan hasil test positif palsu,pasien covid19 tanpa gejala berarti sehat dan mendapatkan hasil tes positif palsu,2,2
H-822,"Tsunami Melanda Darwin, Australia Akhir Desember 2021",tsunami melanda darwin australia akhir desember 2021,tsunami melanda darwin australia akhir desember 2021,2,2
H-823,Kedinkes Semarang Menyebar Undangan Rapat Kerja Peningkatan Kinerja Tenaga Kesehatan via WhatsApp,kedinkes semarang menyebar undangan rapat kerja peningkatan kinerja tenaga kesehatan via whatsapp,kedinkes semarang menyebar undangan rapat kerja peningkatan kinerja tenaga kesehatan via WhatsApp,2,2
H-824,Jus Daun Pepaya Dapat Menyembuhkan DBD,jus daun pepaya dapat menyembuhkan dbd,jus daun pepaya dapat menyembuhkan dbd,2,2
H-825,Foto Protes Kebijakan Pensiunan di Paris Januari 2022,foto protes kebijakan pensiunan di paris januari 2022,foto protes kebijakan pensiunan di paris januari 2022,2,2
H-826,"Akun WhatsApp Camat Rappocini, Syahruddin, Menawarkan Cicilan Mobil",akun whatsapp camat rappocini syahruddin menawarkan cicilan mobil,akun WhatsApp camat rappocini syahruddin menawarkan cicilan mobil,2,2
H-827,Tukul Arwana Meninggal Dunia,tukul arwana meninggal dunia,tukul arwana meninggal dunia,2,2
H-828,Surat Penunjukan Penyedia Barang/Jasa Kementerian Kesehatan Republik Indonesia Tahun 2022,surat penunjukan penyedia barangjasa kementerian kesehatan republik indonesia tahun 2022,surat penunjukan penyedia barangjasa kementerian kesehatan republik indonesia tahun 2022,2,2
H-829,Gambar Danau Berbentuk Hati di Zimbabwe,gambar danau berbentuk hati di zimbabwe,gambar danau berbentuk hati di zimbabwe,2,2
H-830,Foto Asteroid Melintasi Bumi pada bulan Desember 2021,foto asteroid melintasi bumi pada bulan desember 2021,foto asteroid melintasi bumi pada bulan desember 2021,2,2
H-831,Vitamin D3 Blackmores Mengandung Graphene Oxide,vitamin d3 blackmores mengandung graphene oxide,vitamin d3 blackmores mengandung graphene oxide,2,2
H-832,Video Kendaraan Bersenjata Tentara Pakistan Dilempari Batu Oleh Warga Balochistan,video kendaraan bersenjata tentara pakistan dilempari batu oleh warga balochistan,video kendaraan bersenjata tentara pakistan dilempari batu oleh warga balochistan,2,2
H-833,ideo Anies Baswedan “Alhamdulillah blio kgak mati klelep…”,ideo anies baswedan alhamdulillah blio kgak mati klelep,ideo anies Baswedan alhamdulillah blio tidak mati klelep,2,2
H-834,TMII sebelum dan sesudah di ambil alih dan dikelola oleh Pemerintah.,tmii sebelum dan sesudah di ambil alih dan dikelola oleh pemerintah,tmii sebelum dan sesudah di ambil alih dan dikelola oleh pemerintah,2,2
H-835,Warga Korea Selatan yang Belum Vaksin Tidak Dapat Mengikuti Pemilu,warga korea selatan yang belum vaksin tidak dapat mengikuti pemilu,warga korea selatan yang belum vaksin tidak dapat mengikuti pemilu,2,2
H-836,Bubuk Jahe Dapat Menyembuhkan Infeksi Varian Omicron,bubuk jahe dapat menyembuhkan infeksi varian omicron,bubuk jahe dapat menyembuhkan infeksi varian omicron,2,2
